sequence,role,variant,source_sheet,folder,crop,prompt,original_crop_filename,crop_sha256
1,Orchestrator,,18281,characters/001_orchestrator,characters/001_orchestrator/character_crop.png,characters/001_orchestrator/prompt.txt,18281_11_orchestrator.png,1fee956cab163d3777ec484d0961ac3e6cfb126362fc7d66848dc243d40b6819
2,UX Designer,,18281,characters/002_ux_designer,characters/002_ux_designer/character_crop.png,characters/002_ux_designer/prompt.txt,18281_12_ux_designer.png,0c7eeacd2cab5c4fe9ac74b2783a8e6a2bab5780d95a6acd651d9affb32f9524
3,Researcher,,18281,characters/003_researcher,characters/003_researcher/character_crop.png,characters/003_researcher/prompt.txt,18281_13_researcher.png,390fc95dc195c5c843826d23dd13a7b0ec52a5eac386a6cee1ae42cb895c89b7
4,Implementation Engineer,,18281,characters/004_implementation_engineer,characters/004_implementation_engineer/character_crop.png,characters/004_implementation_engineer/prompt.txt,18281_14_implementation_engineer.png,0965a8ff38e62035914ee5b0a88d5263b4837299ab74c006ec68cfb4114ca1d7
5,Architect,,18281,characters/005_architect,characters/005_architect/character_crop.png,characters/005_architect/prompt.txt,18281_15_architect.png,6ce3b3c3132895b8e7b9079d7f8dc3835021feec84e7533158723964cf26772d
6,EPA Representative,,18281,characters/006_epa_representative,characters/006_epa_representative/character_crop.png,characters/006_epa_representative/prompt.txt,18281_21_epa_representative.png,d1f088c0d50f378a67259c6c2042ab48283082bb2481122526db73a91993bc27
7,Adversarial Reviewer,,18281,characters/007_adversarial_reviewer,characters/007_adversarial_reviewer/character_crop.png,characters/007_adversarial_reviewer/prompt.txt,18281_22_adversarial_reviewer.png,07f9777bf2189ea0bebe8dffea7abebbef6aabb4322414cceef25a60d8458b25
8,QA Engineer,,18281,characters/008_qa_engineer,characters/008_qa_engineer/character_crop.png,characters/008_qa_engineer/prompt.txt,18281_23_qa_engineer.png,fe933ae3d75e464856939f27b474992223c73fb3cf2d272c7c3e6e52234060e9
9,Release Engineer,,18281,characters/009_release_engineer,characters/009_release_engineer/character_crop.png,characters/009_release_engineer/prompt.txt,18281_24_release_engineer.png,90de02474784649a872019e9431209346bfdbe41ef6b298fa79b5a608a2687f8
10,Antagonist,,18281,characters/010_antagonist,characters/010_antagonist/character_crop.png,characters/010_antagonist/prompt.txt,18281_25_antagonist.png,28b6d0ccde15b632bdcc2af1a9c381aba60834e0db638f4223aaf0171fad6bc8
11,Product Manager,,18281,characters/011_product_manager,characters/011_product_manager/character_crop.png,characters/011_product_manager/prompt.txt,18281_31_product_manager.png,cedb38d1cfd265f674360717c33867d4dc69906128594229e2e79c81554e8bd5
12,Crash Test Dummy,,18281,characters/012_crash_test_dummy,characters/012_crash_test_dummy/character_crop.png,characters/012_crash_test_dummy/prompt.txt,18281_32_crash_test_dummy.png,52edda2f8d80f40fa6559082ee6788eb682ef027521762496f599b4e593f799d
13,Recovery Engineer,,18281,characters/013_recovery_engineer,characters/013_recovery_engineer/character_crop.png,characters/013_recovery_engineer/prompt.txt,18281_33_recovery_engineer.png,2037247c5b163d1d219b7affaa68210816a966fa0600ec62d866aef118d6d3fb
14,Code Reviewer,,18281,characters/014_code_reviewer,characters/014_code_reviewer/character_crop.png,characters/014_code_reviewer/prompt.txt,18281_34_code_reviewer.png,d3858df44ef52be4ff5d3765d1c13f9b055170f809d2d3fc334b13a3e4f0cd74
15,Hall Monitor,,18281,characters/015_hall_monitor,characters/015_hall_monitor/character_crop.png,characters/015_hall_monitor/prompt.txt,18281_35_hall_monitor.png,211277fa143c25eaf91311f3081aa69fe8c3385a25f46358a1db31754e4eb64c
16,Data Miner,Sheet 1 variant,18281,characters/016_data_miner_sheet_1_variant,characters/016_data_miner_sheet_1_variant/character_crop.png,characters/016_data_miner_sheet_1_variant/prompt.txt,18281_41_data_miner.png,013ce8f05af50c548da2012b61e2d0b71cc6ed480d4bc096fbeb938fc66c61c1
17,Knowledge Keeper,Sheet 1 variant,18281,characters/017_knowledge_keeper_sheet_1_variant,characters/017_knowledge_keeper_sheet_1_variant/character_crop.png,characters/017_knowledge_keeper_sheet_1_variant/prompt.txt,18281_42_knowledge_keeper.png,c348af228d815e95b8278ac24ac1450c3f194561ee891061ae40401d6b2bb6b2
18,Pattern Seeker,Sheet 1 variant,18281,characters/018_pattern_seeker_sheet_1_variant,characters/018_pattern_seeker_sheet_1_variant/character_crop.png,characters/018_pattern_seeker_sheet_1_variant/prompt.txt,18281_43_pattern_seeker.png,0e988c4083bbc72dd152ad60c6df90d2027cbbf40df4e5fc609b879cda7e06a8
19,Translator,Sheet 1 variant,18281,characters/019_translator_sheet_1_variant,characters/019_translator_sheet_1_variant/character_crop.png,characters/019_translator_sheet_1_variant/prompt.txt,18281_44_translator.png,baf85ab53fe4542f508a43699e9162b6706469c822587917bea76887d58fe584
20,Connector,Sheet 1 variant,18281,characters/020_connector_sheet_1_variant,characters/020_connector_sheet_1_variant/character_crop.png,characters/020_connector_sheet_1_variant/prompt.txt,18281_45_connector.png,a0b3887dd3a4c3a5e87568671774513a5fcd2b05e9f607f7358c3107054e963f
21,Data Miner,Sheet 2 variant,18282,characters/021_data_miner_sheet_2_variant,characters/021_data_miner_sheet_2_variant/character_crop.png,characters/021_data_miner_sheet_2_variant/prompt.txt,18282_11_data_miner.png,c10fb71f74bbd0fe0812114670cf5c19b391d74b50092b743a49ced0611300e2
